name;desc;prefix
ROLE_ADMIN;Administration système;x_01
ROLE_USER;Consultation de données;x_01
ROLE_PARAMETRE;Voir le module paramètre;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE;Voir la liste des exercices budgétaires;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE_ADD;Ajouter un exercice budgétaire;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE_EDIT;Modifier un exercice budgétaire;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE_DELETE;Supprimer un exercice budgétaire;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE_ACTIVE_STATUS;Activer ou dÃ©sactiver un exercice budgétaire;PARAM
ROLE_PARAMETRE_EXERCICE_BUDGETAIRE_ACTIVE_PPM;Activer ou désactiver l'édition d'un PPM;PARAM
ROLE_PARAMETRE_UNITE_ADMINISTRATIVE;Voir la liste des unités administratives;PARAM
ROLE_PARAMETRE_UNITE_ADMINISTRATIVE_ADD;Ajouter une unité administrative;PARAM
ROLE_PARAMETRE_UNITE_ADMINISTRATIVE_EDIT;Modifier une unité administrative;PARAM
ROLE_PARAMETRE_UNITE_ADMINISTRATIVE_DELETE;Supprimer une unité administrative;PARAM
ROLE_PARAMETRE_MODE_PASSATION;Voir la liste des modes de passation;PARAM
ROLE_PARAMETRE_MODE_PASSATION_ADD;Ajouter un mode de passation;PARAM
ROLE_PARAMETRE_MODE_PASSATION_EDIT;Modifier un mode de passation;PARAM
ROLE_PARAMETRE_MODE_PASSATION_DELETE;Supprimer un mode de passation;PARAM
ROLE_PARAMETRE_PROCEDURE_PASSATION;Voir la liste des procédures de passation;PARAM
ROLE_PARAMETRE_PROCEDURE_PASSATION_ADD;Ajouter une procédure de passation;PARAM
ROLE_PARAMETRE_PROCEDURE_PASSATION_EDIT;Modifier une procédure de passation;PARAM
ROLE_PARAMETRE_PROCEDURE_PASSATION_DELETE;Supprimer une procédure de passation;PARAM
ROLE_PARAMETRE_ACTEUR;Voir la liste des acteurs;PARAM
ROLE_PARAMETRE_ACTEUR_ADD;Ajouter un acteur;PARAM
ROLE_PARAMETRE_ACTEUR_EDIT;Modifier un acteur;PARAM
ROLE_PARAMETRE_ACTEUR_DELETE;Supprimer un acteur;PARAM
ROLE_PARAMETRE_REFERENTIEL_DELAI;Voir la liste des référentiels de délai;PARAM
ROLE_PARAMETRE_REFERENTIEL_DELAI_ADD;Ajouter un référentiel de délai;PARAM
ROLE_PARAMETRE_REFERENTIEL_DELAI_EDIT;Modifier un référentiel de délai;PARAM
ROLE_PARAMETRE_REFERENTIEL_DELAI_DELETE;Supprimer un référentiel de délai;PARAM
ROLE_PARAMETRE_LIGNE_BUDGETAIRE;Voir la liste des lignes budgétaires;PARAM
ROLE_PARAMETRE_LIGNE_BUDGETAIRE_ADD;ajouter une ligne budgétaire;PARAM
ROLE_PARAMETRE_LIGNE_BUDGETAIRE_EDIT;Modifier une ligne budgétaire;PARAM
ROLE_PARAMETRE_LIGNE_BUDGETAIRE_DELETE;Supprimer une  ligne budgétaire;PARAM
ROLE_PARAMETRE_LIGNE_BUDGETAIRE_IMPORT;Importer une ligne budgétaire;PARAM
ROLE_PARAMETRE_SOURCE_FINANCEMENT;Voir la liste des sources de financement;PARAM
ROLE_PARAMETRE_SOURCE_FINANCEMENT_ADD;Ajouter une source de financement;PARAM
ROLE_PARAMETRE_SOURCE_FINANCEMENT_EDIT;Modifier une source de financement;PARAM
ROLE_PARAMETRE_SOURCE_FINANCEMENT_DELETE;Supprimer une source de financement;PARAM
ROLE_PARAMETRE_TIMBRE;Voir la liste des timbres;PARAM
ROLE_PARAMETRE_TIMBRE_ADD;Ajouter un timbre;PARAM
ROLE_PARAMETRE_TIMBRE_EDIT;Modifier un timbre;PARAM
ROLE_PARAMETRE_TIMBRE_DELETE;Supprimer un timbre;PARAM
ROLE_PARAMETRE_JOUR_FERIER;Voir la liste des jours férié;PARAM
ROLE_PARAMETRE_JOUR_FERIER_ADD;Ajouter un jour férié;PARAM
ROLE_PARAMETRE_JOUR_FERIER_EDIT;Modifier un jour férié;PARAM
ROLE_PARAMETRE_JOUR_FERIER_DELETE;Supprimer un jour férié;PARAM
ROLE_PARAMETRE_PIECE_ADMINISTRATIVE;Voir la listes des pièces administratives;PARAM
ROLE_PARAMETRE_PIECE_ADMINISTRATIVE_ADD;Ajouter une pièce administrative;PARAM
ROLE_PARAMETRE_PIECE_ADMINISTRATIVE_EDIT;Modifier une pièce administrative;PARAM
ROLE_PARAMETRE_PIECE_ADMINISTRATIVE_DELETE;Supprimer une pièce administrative;PARAM
ROLE_PARAMETRE_DELAI_CALCULÃ‰;Voir la liste des délais calculés;PARAM
ROLE_PARAMETRE_DELAI_CALCULÃ‰_ADD;Ajouter un délais calculés;PARAM
ROLE_PARAMETRE_DELAI_CALCULÃ‰_EDIT;Modifier un délai calculé;PARAM
ROLE_PARAMETRE_DELAI_CALCULÃ‰_DELETE;Supprimer un délai calculé;PARAM
ROLE_PARAMETRE_MESSAGE_DÃ‰LAI;Voir la liste des messages de délai ;PARAM
ROLE_PARAMETRE_MESSAGE_DÃ‰LAI_ADD;Ajouter un message de délai ;PARAM
ROLE_PARAMETRE_MESSAGE_DÃ‰LAI_EDIT;Modifier un message de délai ;PARAM
ROLE_PARAMETRE_MESSAGE_DÃ‰LAI_DELETE;Supprimer un message de délai ;PARAM
ROLE_PPM;Module de plan de passation des marchés;PPM
ROLE_PPM_SOUS_PPM;Gestion des sous PPM;PPM
ROLE_PPM_SOUS_PPM_ADD;Ajouter un sous PPM;PPM
ROLE_PPM_SOUS_PPM_EDIT;Modifier un sous PPM;PPM
ROLE_PPM_SOUS_PPM_DELETE;Supprimer un sous PPM;PPM
ROLE_PPM_PPM;Gestion des PPM;PPM
ROLE_PPM_PPM_ADD;Ajouter un PPM;PPM
ROLE_PPM_PPM_EDIT;Modifier un PPM;PPM
ROLE_PPM_PPM_DELETE;Supprimer un  PPM;PPM
ROLE_PPM_DEPENSES_ENGAGEES_NON_LIQUIDES;Gestion des dépenses engagées non liguidées;PPM
ROLE_PPM_DEPENSES_ENGAGEES_NON_LIQUIDES_REPORTE_UNE_LIGNE_PPM;Reporter une ligne PPM;PPM
ROLE_PPM_DEPENSES_ENGAGEES_NON_LIQUIDES_LISTE_DES_LIGNES_REPORTE;Liste des lignes reportées;PPM
ROLE_PPM_IMPORT_EXPORT_PPM;Gestion des imports et exports de PPM;PPM
ROLE_PPM_IMPORT_EXPORT_PPM_EXPORTER_UN_PLAN_DE_PASSATION;Exporter un plan de passation;PPM
ROLE_PPM_IMPORT_EXPORT_PPM_IMPORTER_UN_PLAN_DE_PASSATION;Importer un plan de passation;PPM
